USGS Station No.,summer_sum,totalppt_2004_2018_cm,BasinGIS_km2,r50_DevelopedOpen2011,r50_DeciduousForest2011,r50_UrbanTotal2011,r50_ForestTotal2011,r50_CanopyCover2011,r50_Imperviousness2011,DevelopedOpen2011,DevelopedLow2011,DevelopedMed2011,DevelopedHigh2011,DeciduousForest2011,EvergreenForest2011,ShrubScrub2011,GrasslandHerb2011,WoodyWetlands2011,UrbanLMH2011,ForestTotal2011,WetlandsTotal2011,Canopy2011,Imperviousness2011,PopDensityBLK2010,HousDensityBLK2010,RoadDensity2014,StreamDensity,Slope,SandContent,PctHydrGrpB,PctHydrGrpB_D,PctHydrGrpC,PctHydrGrpD,PctHydrGrpD_A_D_B_D_C_D
1645704,307.0364706,1745.1324,14.2258,11.3636,18.1818,11.3636,18.9394,85.0152,0.303,25.944,14.3697,17.7661,5.376,28.9419,2.3275,0.7843,0.1708,1.6444,37.5119,32.6229,1.676,44.327,22.6829,1375.8641,661.6408,10.8649,2.5034,6.2027,29.8197,16.2,7.6,36.9,2.3,10
1645762,301.2176471,1717.802,7.0145,24.0506,50.6329,26.5823,50.6329,66.2658,1.5443,36.3974,6.6538,0.6282,0.0128,47.2051,2.3462,0.6795,0.0769,3.7821,7.2949,51.2564,3.7821,60.0748,4.7144,580.6986,188.5645,8.2533,2.296,6.7791,30.0116,17.4,10.7,59.3,0,10.7
1646000,312.2994118,1737.5378,149.7681,7.0248,46.6942,8.2645,50.8264,76.9091,0.6157,32.4242,12.7989,6.8084,1.5502,35.3913,2.1096,0.9169,0.0613,4.295,21.1575,38.9003,4.3076,52.6665,11.8351,841.7639,345.5598,8.9289,2.3716,6.8851,30.6344,20.7,9.2,50.9,0.5,9.9
1654000,319.3270588,1799.8186,61.7786,5.9701,12.9353,5.9701,12.9353,75.4776,0.0746,31.0803,24.6329,14.1883,4.3512,20.9212,0.4035,0.1617,0.0073,2.676,43.1724,22.7071,2.676,42.76,23.3744,1778.9631,667.127,13.0016,1.1709,5.5077,34.2378,10,8,52.4,0.1,8.1
2085000,326.7164706,1773.2502,170.9909,19.2623,48.7705,20.082,59.4262,82.291,1.0246,8.6426,2.5905,0.9168,0.3047,45.6458,6.7237,2.4521,3.7279,0.7,3.8121,54.9195,0.7079,67.1066,2.2116,72.2715,32.3719,3.5262,1.6925,4.8819,24.8215,71.1,4.8,7.6,13.6,19.1
208524090,337.7229412,1802.3078,20.5979,3.4247,85.6164,3.4247,93.1507,89.9315,0.0342,6.867,2.2366,0.2883,0,42.22,6.5394,1.7342,3.9009,0.2665,2.5249,52.2191,0.2665,64.9889,1.336,53.5269,22.6831,3.0392,1.3619,6.2825,23.649,77.5,10.5,4.2,5,17.8
2085500,336.07,1786.15,376.86,1.37,57.19,1.37,73.97,94.75,0.1,4.9,1.56,0.48,0.23,45.43,4.61,3.77,6.27,0.74,2.27,53.12,0.76,64.6,1.33,46.93,20.58,3.1,1.65,4.96,25.49,52.4,6.1,8.8,25.4,36.7
2086849,344.0194118,1793.0368,57.2252,0,21.2871,0,25.7426,97.802,0,35.2716,22.0049,12.556,4.9532,8.5431,5.1907,1.8461,1.975,3.6953,39.5141,15.2764,3.7204,53.0657,21.9538,872.507,375.0146,9.9289,1.4556,4.8367,19.8528,11.9,5.8,1.4,60,76.1
208732885,335.0723529,1699.3108,17.7687,43.5714,36.4286,62.8571,36.4286,63.6214,12.4929,41.7245,21.1584,24.2216,7.2958,2.1417,1.7721,0.0506,0.3899,0,52.6758,4.4707,0,36.6954,31.7828,1224.3053,551.1551,9.1143,1.4125,4.097,30.9242,7.2,4.4,0.5,6,10.4
2087580,345.1423529,1781.3782,54.8148,32.4607,24.0838,33.5079,24.0838,81.2932,1.178,47.1149,20.0877,8.951,2.0855,10.1563,5.3696,0.2496,1.1889,0.6486,31.1242,16.6639,0.6486,55.9854,17.2416,828.5339,363.1195,8.9072,1.4453,5.7525,27.752,22.1,10.8,11.4,1.9,21.9
2088000,373.9076471,1842.0842,216.0311,1.8939,11.3636,4.5455,14.3939,92.2273,0.8788,18.6084,9.988,2.6521,0.6678,15.9371,10.5867,2.1563,9.6602,5.8662,13.308,32.9199,6.334,55.0965,6.7384,348.7957,127.1056,5.3835,1.7951,4.809,46.8971,16.8,7.1,16,12.1,29.9
2093800,342.4488235,1671.8788,53.3976,4.0816,33.6735,4.0816,35.2041,79.4031,0.1582,14.2881,7.6261,2.0864,0.8427,36.5731,3.5392,1.505,3.2813,1.9567,10.5551,40.6296,1.9685,53.9253,5.5504,168.8464,65.4499,4.5505,1.8287,6.9615,29.047,63.2,7.3,3.6,2.3,9.7
2094659,325.8088235,1657.5024,18.9199,55.2632,0,100,0,55.0263,21.4276,27.1919,30.5076,21.9923,17.6823,1.8743,0.4091,0.0285,0.1427,0,70.1822,2.2834,0,33.2479,42.7109,1077.1427,549.8606,8.0091,1.2936,4.4517,26.9451,39.7,5,40.6,0.2,5.8
2095181,313.4164706,1637.2078,24.7287,75.4839,0,100,0,42.8581,16.6258,43.7097,36.406,10.9174,7.3802,1.1754,0.0619,0,0,0.0218,54.7036,1.321,0.0218,46.7347,28.5398,915.3334,441.1365,11.2,1.4214,4.6636,27.2645,60.5,2.3,25.3,0,2.3
209722970,347.2635294,1843.6844,12.1356,49.5798,27.7311,55.4622,42.0168,79.2941,3.3277,38.145,19.4321,16.7853,5.3084,8.3704,8.3852,0.0445,0.1483,0.2076,41.5258,19.8028,0.2076,53.5896,23.8898,1188.7701,475.3025,8.807,1.3914,6.5781,20.1195,21.3,2.7,0.1,61.1,70
2097280,347.8882353,1760.8804,38.1182,4.7059,5.2941,6.4706,7.0588,91.7294,0.7353,48.8526,23.9742,10.6544,2.7929,4.7287,2.8708,0.0212,0.7153,3.8529,37.4215,8.7067,3.8529,55.2411,19.7796,1036.8648,462.9138,9.9208,1.5341,6.2115,19.9825,13.2,6.2,1.2,65.2,76.9
209734440,353.0205882,1827.0728,20.8103,25,61.1842,25,75,93.4145,0.9605,21.221,10.1263,1.803,0.441,31.3516,21.7096,0.6226,3.7011,0.6399,12.3703,55.7593,0.6399,76.4796,6.185,476.9945,185.577,5.8896,1.1522,5.4991,26.3084,55.5,2.8,18.8,13.1,25.1
2097517,358.2123529,1801.622,106.0439,12.6087,56.5217,23.4783,59.5652,79.3217,5.0565,12.1115,4.6722,2.5703,0.6203,41.6922,16.6275,0.6576,3.5894,0.146,7.8627,63.2702,0.1816,75.2298,4.4581,330.344,135.1844,5.2934,1.6119,7.4286,30.0004,63.4,2.8,6.5,11.2,15
212393300,308.3447059,1681.0736,53.5941,26.5306,14.7959,26.5306,14.7959,84.1429,1.3673,15.1261,6.6131,1.8882,0.423,35.3699,8.2949,1.6617,7.2005,1.6986,8.9243,44.4603,1.7439,61.0304,4.7873,225.3245,80.8319,4.4939,3.2277,6.8265,29.7668,61.7,11.6,19.8,5.8,17.8
212430653,354.9523529,1779.7526,14.8986,57.6923,0.7692,71.5385,0.7692,81.9077,7.1923,29.6287,13.6674,1.9559,0.1026,30.0996,9.5261,0.3924,4.1232,1.0685,15.7259,40.1207,1.1047,62.4977,7.6796,511.4173,183.4853,7.1917,3.7251,6.1573,29.047,80.9,8.1,4.2,5.3,13.9
212466000,336.91,1708.0992,29.2363,1.2048,48.1928,1.2048,50.6024,50.7048,0.1205,18.6165,5.0895,0.9785,0.3323,32.2635,15.204,0.5631,6.3296,1.9386,6.4004,48.9476,2.0032,63.1059,3.8041,189.864,73.7829,5.9322,3.7917,5.9691,28.5177,82.1,8.4,5.6,3.3,11.9
212467595,340.6641176,1732.5848,28.5797,3.1056,93.1677,3.1056,96.2733,93.7391,0.1304,27.4049,9.8558,1.4763,0.2172,30.4143,11.776,0.6894,1.3315,1.2843,11.5494,43.7893,1.2843,60.5729,6.0188,364.2132,131.562,6.174,3.6224,4.4919,23.145,72.8,5.5,11.9,9,14.4
214265808,309.1382353,1672.7678,18.7044,27.9412,30.1471,30.1471,31.6177,66.4412,2.5735,31.1337,21.3169,9.2684,2.0345,17.3729,4.0498,1.8037,4.526,1.188,32.6199,21.668,1.188,50.5106,17.2057,547.9112,235.6974,8.1866,2.8566,4.6252,26.6156,53,8.9,23.9,0.1,21.9
2146110,288.3476471,1610.9188,18.1961,72.5352,3.5211,96.4789,3.5211,75.8451,10.3592,57.9619,26.327,8.9355,3.588,1.6556,0.7611,0,0,0.2817,38.8504,2.7874,0.2817,58.2973,21.431,1046.203,514.4503,8.5855,3.7832,4.1403,27.2812,4,0.8,0.9,1.7,2.4
214627970,339.8841176,1698.3202,23.4799,66.0377,1.2579,97.4843,2.5157,58.566,18.6667,23.6838,34.4777,15.1161,10.0659,6.1461,1.958,0.2759,1.5787,0.1035,59.6598,8.2343,0.1035,39.3386,32.2517,796.5446,338.5265,9.4897,3.1655,5.3846,29.0307,61.1,4,13.3,1.2,5.1
2146409,341.4988235,1700.5808,31.3452,1.8519,0,100,0,14.9814,68.3704,19.5246,31.0281,23.8911,23.3428,1.6163,0.1837,0.0316,0.1522,0.1321,78.262,1.8,0.1321,33.9784,48.8356,1121.8905,573.6934,12.0755,3.1645,3.6273,27.3352,49.2,3.5,4.7,6.5,10
214642825,362.7394118,1786.9154,13.202,69.7674,7.7519,84.4961,7.7519,73.1473,8.8295,46.2251,34.3077,10.5342,4.5653,3.0117,0.586,0,0.5519,0.2112,49.4072,3.5977,0.2112,52.2922,25.3064,1493.8156,598.2551,8.4295,3.8068,3.5468,27.7955,53.2,3.9,8,30.7,34.6
2146470,339.5752941,1702.9176,6.7791,60.2041,0,100,0,73.3878,16.2449,32.6742,45.6536,11.2276,10.4446,0,0,0,0,0,67.3258,0,0,49.0313,33.6226,1486.7285,793.2552,9.8039,3.1725,4.3005,27.2645,73.3,2.9,8.6,0,2.9
214655255,341.2035294,1761.1598,18.9283,48.6111,26.3889,56.9444,26.3889,83.25,4.3472,48.0409,30.7133,5.9629,2.0827,8.1265,2.135,0,1.2126,0.4232,38.7589,10.5326,0.4232,54.6616,18.7712,1253.8191,513.3513,9.3077,3.3733,4.1649,29.0208,66.4,5.1,12.4,14.4,20.1
2146562,347.7711765,1774.825,14.7483,80.8824,0,92.6471,0,76.9044,7.9706,45.2087,29.5349,12.8479,6.6711,4.0833,0.6897,0,0.0732,0.6592,49.054,4.7729,0.6592,51.6038,27.0519,1764.1195,784.4195,9.032,3.9845,3.5609,28.2253,64.2,5.2,10.1,15.2,20.4
