site,sources,BFI_avg,summer_sum,totalppt_2004_2018_cm,BasinGIS_km2,r50_DevelopedOpen2011,r50_DeciduousForest2011,r50_UrbanTotal2011,r50_ForestTotal2011,r50_CanopyCover2011,r50_Imperviousness2011,DevelopedOpen2011,DevelopedLow2011,DevelopedMed2011,DevelopedHigh2011,DeciduousForest2011,EvergreenForest2011,ShrubScrub2011,GrasslandHerb2011,WoodyWetlands2011,UrbanLMH2011,ForestTotal2011,WetlandsTotal2011,Canopy2011,Imperviousness2011,NatWetlandsInvTotal,PopDensityBLK2010,HousDensityBLK2010,RoadDensity2014,StreamDensity,Slope,SandContent,PctHydrGrpB,PctHydrGrpB_D,PctHydrGrpC,PctHydrGrpD,PctHydrGrpD_A_D_B_D_C_D,s_name,norm_min,norm_median,norm_99,norm_90,norm_70,norm_base,norm_Qsum,norm_BFI,norm_mincv,norm_mediancv,norm_99cv,norm_90cv,norm_70cv,norm_basecv,norm_Qsumcv,norm_BFIcv,nonlog_mincv,nonlog_mediancv,nonlog_99cv,nonlog_90cv,nonlog_70cv,nonlog_basecv,nonlog_Qsumcv,nonlog_BFIcv
1,1645704,0.284587055,307.0364706,1745.1324,14.2258,11.3636,18.1818,11.3636,18.9394,85.0152,0.303,25.944,14.3697,17.7661,5.376,28.9419,2.3275,0.7843,0.1708,1.6444,37.5119,32.6229,1.676,44.327,22.6829,2.0825,1375.8641,661.6408,10.8649,2.5034,6.2027,29.8197,16.2,7.6,36.9,2.3,10,1645704,0.287000671,0.800619819,0.287304202,0.629532753,0.78634774,0.682707385,0.870593375,0.103292343,2.86691708,0.461332969,3.106251711,0.449039173,0.358645033,0.442793525,0.712460696,3.61695931,0.504336478,0.232072881,0.438685174,0.296477966,0.227829388,0.21141207,0.289006193,0.182819229
2,1645762,0.440705357,301.2176471,1717.802,7.0145,24.0506,50.6329,26.5823,50.6329,66.2658,1.5443,36.3974,6.6538,0.6282,0.0128,47.2051,2.3462,0.6795,0.0769,3.7821,7.2949,51.2564,3.7821,60.0748,4.7144,3.3881,580.6986,188.5645,8.2533,2.296,6.7791,30.0116,17.4,10.7,59.3,0,10.7,1645762,0.239338035,0.686110816,0.207613958,0.27312909,0.55711211,0.72072286,0.01246223,0.938967582,1.306503487,0.736237864,1.552810145,1.450806587,0.660784834,0.570014651,53.64145637,0.477361686,0.406851253,0.302283273,0.39512571,0.43478351,0.283604037,0.265213321,0.317904993,0.22052856
3,1646000,0.376494193,312.2994118,1737.5378,149.7681,7.0248,46.6942,8.2645,50.8264,76.9091,0.6157,32.4242,12.7989,6.8084,1.5502,35.3913,2.1096,0.9169,0.0613,4.295,21.1575,38.9003,4.3076,52.6665,11.8351,4.4179,841.7639,345.5598,8.9289,2.3716,6.8851,30.6344,20.7,9.2,50.9,0.5,9.9,1646000,0.388991186,0.632232964,0.381238156,0.553270294,0.695956339,0.595798554,0.260450486,0.547224841,1.115442686,0.680559374,1.186576045,0.689085213,0.487281525,0.644899868,1.791454905,0.670404255,0.64121816,0.266541022,0.589174858,0.415905144,0.277480726,0.265923195,0.21600617,0.172702287
4,1654000,0.198160781,319.3270588,1799.8186,61.7786,5.9701,12.9353,5.9701,12.9353,75.4776,0.0746,31.0803,24.6329,14.1883,4.3512,20.9212,0.4035,0.1617,0.0073,2.676,43.1724,22.7071,2.676,42.76,23.3744,2.3735,1778.9631,667.127,13.0016,1.1709,5.5077,34.2378,10,8,52.4,0.1,8.1,1654000,-0.328687832,-0.043612912,-0.338141235,-0.095658523,0.009199997,-0.139109724,0.643500572,-0.772506277,-3.090746381,-9.683128323,-2.955667021,-5.032993358,40.37645858,-2.777301863,0.767706918,-0.682499175,0.853499263,0.246581798,0.781788523,0.531033978,0.30052658,0.254948183,0.224369565,0.257582227
5,2085000,0.297082373,326.7164706,1773.2502,170.9909,19.2623,48.7705,20.082,59.4262,82.291,1.0246,8.6426,2.5905,0.9168,0.3047,45.6458,6.7237,2.4521,3.7279,0.7,3.8121,54.9195,0.7079,67.1066,2.2116,2.0687,72.2715,32.3719,3.5262,1.6925,4.8819,24.8215,71.1,4.8,7.6,13.6,19.1,2085000,-0.487226833,-0.881680934,-0.408158594,-0.748947907,-1.117021614,-0.792376295,-1.194424534,0.048533601,-0.946758609,-0.957385582,-1.063166174,-0.550846917,-0.620670372,-0.948201528,-0.844321647,9.283099508,0.639678828,0.463998891,0.521687404,0.451902591,0.60141972,0.422541097,0.419917315,0.211503526
7,2085500,0.28,336.07,1786.15,376.86,1.37,57.19,1.37,73.97,94.75,0.1,4.9,1.56,0.48,0.23,45.43,4.61,3.77,6.27,0.74,2.27,53.12,0.76,64.6,1.33,1.76,46.93,20.58,3.1,1.65,4.96,25.49,52.4,6.1,8.8,25.4,36.7,2085500,-1.685006027,-0.772617971,-1.721639527,-1.501507487,-1.097792595,-0.66584455,-0.868708974,-0.082781302,-0.674102869,-1.044368752,-0.681817217,-0.710979615,-0.840765097,-1.064499257,-1.146168256,-6.674952711,1.407576782,0.432317528,1.405322418,1.014904992,0.627745363,0.406458519,0.405472495,0.26120573
8,2086849,0.374885241,344.0194118,1793.0368,57.2252,0,21.2871,0,25.7426,97.802,0,35.2716,22.0049,12.556,4.9532,8.5431,5.1907,1.8461,1.975,3.6953,39.5141,15.2764,3.7204,53.0657,21.9538,5.6385,872.507,375.0146,9.9289,1.4556,4.8367,19.8528,11.9,5.8,1.4,60,76.1,2086849,1.385640561,1.225903919,1.421848114,1.464162465,1.344130435,1.329209625,1.309888799,0.553659811,0.069915431,0.2035869,0.050513204,0.051341645,0.114675308,0.148247508,0.389069218,0.574917108,0.167777989,0.153359437,0.114925672,0.08590225,0.119223678,0.12583094,0.23766978,0.155584459
10,2087580,0.133468079,345.1423529,1781.3782,54.8148,32.4607,24.0838,33.5079,24.0838,81.2932,1.178,47.1149,20.0877,8.951,2.0855,10.1563,5.3696,0.2496,1.1889,0.6486,31.1242,16.6639,0.6486,55.9854,17.2416,3.3578,828.5339,363.1195,8.9072,1.4453,5.7525,27.752,22.1,10.8,11.4,1.9,21.9,2087580,-0.898371075,-0.826266505,-0.961335177,-1.074002693,-1.059306779,-1.229852992,-0.025444318,-1.59844414,-0.5858944,-0.763670457,-0.636361206,-0.769919466,-0.68623333,-0.542121897,-22.68246031,-0.414961203,0.749143911,0.417028134,0.73896879,0.55494456,0.65522276,0.424898679,0.255703151,0.288261355
11,2088000,0.414959558,373.9076471,1842.0842,216.0311,1.8939,11.3636,4.5455,14.3939,92.2273,0.8788,18.6084,9.988,2.6521,0.6678,15.9371,10.5867,2.1563,9.6602,5.8662,13.308,32.9199,6.334,55.0965,6.7384,7.1091,348.7957,127.1056,5.3835,1.7951,4.809,46.8971,16.8,7.1,16,12.1,29.9,2088000,0.593003663,0.50701001,0.569829476,0.409555569,0.372290812,0.473608383,-0.094165282,0.710720423,0.364837218,0.778295233,0.357398529,0.685899316,1.052377951,0.770666869,-7.6159401,0.53215748,0.368615336,0.236629151,0.349044345,0.36679955,0.320155371,0.233708893,0.293194841,0.190387188
12,2093800,0.472999877,342.4488235,1671.8788,53.3976,4.0816,33.6735,4.0816,35.2041,79.4031,0.1582,14.2881,7.6261,2.0864,0.8427,36.5731,3.5392,1.505,3.2813,1.9567,10.5551,40.6296,1.9685,53.9253,5.5504,2.967,168.8464,65.4499,4.5505,1.8287,6.9615,29.047,63.2,7.3,3.6,2.3,9.7,2093800,0.562170329,0.435051915,0.517759861,0.448942228,0.529471125,0.509753298,-0.366825468,1.00797996,0.742471733,0.854528346,0.828780502,1.012602864,0.634935245,0.684739061,-1.676851721,0.369407593,0.633681628,0.223812639,0.61540341,0.425186047,0.249039378,0.219154863,0.282580003,0.185205085
